system,ds,op,c,P,n,value_size,keyspace,qps,avg_ms,p50_ms,p95_ms,p99_ms,notes
kvstore,array,populate,50,1,100000,32,100000,2604.440000,19.161000,16.799000,43.423000,56.959000,"kvstore populate phase via redis-benchmark custom command"
kvstore,array,set,50,1,100000,32,100000,1226.890000,40.715000,39.359000,59.583000,73.791000,"kvstore set via redis-benchmark custom command"
kvstore,array,get,50,1,100000,32,100000,1191.280000,41.930000,40.895000,63.583000,77.695000,"kvstore get via redis-benchmark custom command"
kvstore,rbtree,populate,50,1,100000,32,100000,77399.380000,0.349000,0.303000,0.575000,1.855000,"kvstore populate phase via redis-benchmark custom command"
kvstore,rbtree,set,50,1,100000,32,100000,95785.440000,0.285000,0.271000,0.455000,0.679000,"kvstore set via redis-benchmark custom command"
kvstore,rbtree,get,50,1,100000,32,100000,94786.730000,0.285000,0.271000,0.431000,0.639000,"kvstore get via redis-benchmark custom command"
kvstore,hash,populate,50,1,100000,32,100000,85178.880000,0.312000,0.295000,0.503000,0.719000,"kvstore populate phase via redis-benchmark custom command"
kvstore,hash,set,50,1,100000,32,100000,88967.980000,0.298000,0.287000,0.447000,0.607000,"kvstore set via redis-benchmark custom command"
kvstore,hash,get,50,1,100000,32,100000,90579.710000,0.293000,0.287000,0.423000,0.607000,"kvstore get via redis-benchmark custom command"
kvstore,skiptable,populate,50,1,100000,32,100000,77881.620000,0.362000,0.311000,0.663000,1.871000,"kvstore populate phase via redis-benchmark custom command"
kvstore,skiptable,set,50,1,100000,32,100000,88495.580000,0.312000,0.287000,0.511000,0.823000,"kvstore set via redis-benchmark custom command"
kvstore,skiptable,get,50,1,100000,32,100000,93632.960000,0.291000,0.279000,0.431000,0.591000,"kvstore get via redis-benchmark custom command"
redis,array,populate,50,1,100000,32,100000,117096.020000,0.236000,0.207000,0.407000,0.663000,"redis populate for aligned set/get"
redis,array,set,50,1,100000,32,100000,108577.630000,0.253000,0.223000,0.455000,0.791000,"redis set aligned with kvstore set/get"
redis,array,get,50,1,100000,32,100000,129032.270000,0.212000,0.191000,0.351000,0.559000,"redis get aligned with kvstore set/get"
redis,rbtree,populate,50,1,100000,32,100000,123001.230000,0.220000,0.199000,0.367000,0.551000,"redis populate for aligned set/get"
redis,rbtree,set,50,1,100000,32,100000,121802.680000,0.226000,0.207000,0.391000,0.583000,"redis set aligned with kvstore set/get"
redis,rbtree,get,50,1,100000,32,100000,112359.550000,0.241000,0.223000,0.383000,0.623000,"redis get aligned with kvstore set/get"
redis,hash,populate,50,1,100000,32,100000,118623.960000,0.228000,0.207000,0.351000,0.543000,"redis populate for aligned set/get"
redis,hash,set,50,1,100000,32,100000,123001.230000,0.220000,0.207000,0.351000,0.543000,"redis set aligned with kvstore set/get"
redis,hash,get,50,1,100000,32,100000,124378.110000,0.222000,0.199000,0.367000,0.615000,"redis get aligned with kvstore set/get"
redis,skiptable,populate,50,1,100000,32,100000,118483.410000,0.232000,0.207000,0.407000,0.639000,"redis populate for aligned set/get"
redis,skiptable,set,50,1,100000,32,100000,122699.390000,0.223000,0.207000,0.367000,0.623000,"redis set aligned with kvstore set/get"
redis,skiptable,get,50,1,100000,32,100000,121802.680000,0.224000,0.207000,0.367000,0.607000,"redis get aligned with kvstore set/get"
